"show","week","year","atlas_text","fauci_text"
"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",50,2020,0,0
"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",52,2020,0,1
"CNN_Right_Now_With_Brianna_Keilar",11,2020,0,0
"CNN_Right_Now_With_Brianna_Keilar",12,2020,0,0
"CNN_Right_Now_With_Brianna_Keilar",15,2020,0,5
"CNN_Right_Now_With_Brianna_Keilar",45,2020,0,3
"CNN_Right_Now_With_Brianna_Keilar",46,2020,0,0
"CNN_Right_Now_With_Brianna_Keilar",49,2020,0,0
"CNN_Right_Now_With_Brianna_Keilar",50,2020,0,0
"CNN_Special_Report",21,2020,0,3
"CNN_Special_Report",24,2020,0,0
"CNN_Special_Report",26,2020,0,0
"CNN_Special_Report",27,2020,0,4
"CNN_Special_Report",29,2020,0,6
"CNN_Special_Report",30,2020,0,0
"CNN_Special_Report",34,2020,0,0
"CNN_Special_Report",36,2020,0,3
"CNN_Special_Report",37,2020,0,0
"CNN_Special_Report",39,2020,0,0
"CNN_Special_Report",41,2020,0,0
"CNN_Special_Report",42,2020,0,1
"CNN_Special_Report",43,2020,0,0
"CNN_Special_Report",44,2020,0,0
"CNN_Special_Report",52,2020,0,3
"CNN_Tonight_with_Don_Lemon",12,2020,0,0
"CNN_Tonight_with_Don_Lemon",13,2020,0,5
"CNN_Tonight_with_Don_Lemon",14,2020,0,13
"CNN_Tonight_with_Don_Lemon",15,2020,0,4
"CNN_Tonight_with_Don_Lemon",16,2020,0,5
"CNN_Tonight_with_Don_Lemon",17,2020,0,0
"CNN_Tonight_with_Don_Lemon",18,2020,0,5
"CNN_Tonight_with_Don_Lemon",19,2020,0,2
"CNN_Tonight_with_Don_Lemon",20,2020,0,20
"CNN_Tonight_with_Don_Lemon",21,2020,0,1
"CNN_Tonight_with_Don_Lemon",22,2020,0,0
"CNN_Tonight_with_Don_Lemon",23,2020,0,0
"CNN_Tonight_with_Don_Lemon",24,2020,0,0
"CNN_Tonight_with_Don_Lemon",25,2020,0,7
"CNN_Tonight_with_Don_Lemon",26,2020,0,4
"CNN_Tonight_with_Don_Lemon",28,2020,0,40
"CNN_Tonight_with_Don_Lemon",29,2020,0,12
"CNN_Tonight_with_Don_Lemon",30,2020,0,4
"CNN_Tonight_with_Don_Lemon",31,2020,0,5
"CNN_Tonight_with_Don_Lemon",32,2020,0,2
"CNN_Tonight_with_Don_Lemon",33,2020,0,5
"CNN_Tonight_with_Don_Lemon",34,2020,0,0
"CNN_Tonight_with_Don_Lemon",35,2020,4,0
"CNN_Tonight_with_Don_Lemon",36,2020,2,7
"CNN_Tonight_with_Don_Lemon",37,2020,0,0
"CNN_Tonight_with_Don_Lemon",38,2020,0,1
"CNN_Tonight_with_Don_Lemon",39,2020,8,6
"CNN_Tonight_with_Don_Lemon",40,2020,2,4
"CNN_Tonight_with_Don_Lemon",41,2020,0,5
"CNN_Tonight_with_Don_Lemon",42,2020,1,14
"CNN_Tonight_with_Don_Lemon",43,2020,0,1
"CNN_Tonight_with_Don_Lemon",44,2020,0,0
"CNN_Tonight_with_Don_Lemon",46,2020,3,4
"CNN_Tonight_with_Don_Lemon",47,2020,0,0
"CNN_Tonight_with_Don_Lemon",48,2020,5,0
"CNN_Tonight_with_Don_Lemon",49,2020,0,9
"CNN_Tonight_with_Don_Lemon",50,2020,1,1
"CNN_Tonight_with_Don_Lemon",51,2020,0,6
"CNN_Tonight_with_Don_Lemon",52,2020,0,1
"CNN_Tonight_with_Don_Lemon",53,2020,0,0
"CNN_Tonight_With_Don_Lemon",10,2020,0,1
"CNNI_Simulcast",42,2020,0,0
"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",10,2020,0,9
"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",11,2020,0,6
"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",13,2020,0,31
"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",14,2020,0,10
"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",15,2020,0,0
"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",16,2020,0,3
"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",19,2020,0,0
"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",20,2020,0,1
"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",21,2020,0,7
"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",22,2020,0,0
"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",25,2020,0,6
"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",26,2020,0,2
"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",28,2020,0,6
"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",29,2020,0,0
"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",30,2020,0,1
"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",33,2020,0,3
"Coronavirus_Pandemic",13,2020,0,1
"Coronavirus_Pandemic",14,2020,0,3
"Coronavirus_Pandemic",15,2020,0,2
"Coronavirus_Pandemic",16,2020,0,0
"Coronavirus_Pandemic",17,2020,0,2
"Coronavirus_Pandemic",18,2020,0,0
"Coronavirus_Pandemic",20,2020,0,1
"Coronavirus_Pandemic",21,2020,0,0
"Coronavirus_Pandemic",22,2020,0,1
"Coronavirus_Pandemic_Worldwide_Coverage",13,2020,0,2
"Coronavirus_Pandemic_Worldwide_Coverage",14,2020,0,4
"Coronavirus_Pandemic_Worldwide_Coverage",15,2020,0,1
"Coronavirus_Pandemic_Worldwide_Coverage",16,2020,0,2
"Coronavirus_Pandemic_Worldwide_Coverage",17,2020,0,2
"Coronavirus_Pandemic_Worldwide_Coverage",18,2020,0,3
