"network","week","wordcounts","show","year","death_text","health_text","network2","week2","wc","cnn","msnbc","log_wc","cnn_times_week2","msnbc_times_week2","show_id"
"cnn",45,1122,"CNN_Newsroom_With_Brooke_Baldwin",2020,7,47,"cnn",36,1122,1,0,7.02286808608264,36,0,9
"cnn",46,2306,"CNN_Newsroom_With_Brooke_Baldwin",2020,18,76,"cnn",37,2306,1,0,7.743269700829,37,0,9
"cnn",47,1741,"CNN_Newsroom_With_Brooke_Baldwin",2020,12,58,"cnn",38,1741,1,0,7.46221493976819,38,0,9
"cnn",48,2081,"CNN_Newsroom_With_Brooke_Baldwin",2020,13,82,"cnn",39,2081,1,0,7.64060382639363,39,0,9
"cnn",49,2844,"CNN_Newsroom_With_Brooke_Baldwin",2020,22,172,"cnn",40,2844,1,0,7.95296679092313,40,0,9
"cnn",51,1089,"CNN_Newsroom_With_Brooke_Baldwin",2020,10,70,"cnn",42,1089,1,0,6.99301512293296,42,0,9
"cnn",52,7724,"CNN_Newsroom_With_Brooke_Baldwin",2020,83,350,"cnn",43,7724,1,0,8.9520876435484,43,0,9
"cnn",53,1083,"CNN_Newsroom_With_Brooke_Baldwin",2020,2,82,"cnn",44,1083,1,0,6.98749024700099,44,0,9
"cnn",10,1107,"CNN_Newsroom_With_Fredricka_Whitfield",2020,12,37,"cnn",1,1107,1,0,7.00940893270864,1,0,10
"cnn",12,1235,"CNN_Newsroom_With_Fredricka_Whitfield",2020,1,43,"cnn",3,1235,1,0,7.11882624906208,3,0,10
"cnn",13,1388,"CNN_Newsroom_With_Fredricka_Whitfield",2020,8,50,"cnn",4,1388,1,0,7.23561914106675,4,0,10
"cnn",14,4571,"CNN_Newsroom_With_Fredricka_Whitfield",2020,29,198,"cnn",5,4571,1,0,8.42748727833174,5,0,10
"cnn",15,1730,"CNN_Newsroom_With_Fredricka_Whitfield",2020,18,67,"cnn",6,1730,1,0,7.45587668749182,6,0,10
"cnn",17,4785,"CNN_Newsroom_With_Fredricka_Whitfield",2020,25,228,"cnn",8,4785,1,0,8.47324130388705,8,0,10
"cnn",18,1202,"CNN_Newsroom_With_Fredricka_Whitfield",2020,6,38,"cnn",9,1202,1,0,7.09174211509515,9,0,10
"cnn",19,3840,"CNN_Newsroom_With_Fredricka_Whitfield",2020,26,141,"cnn",10,3840,1,0,8.25322764558177,10,0,10
"cnn",20,1852,"CNN_Newsroom_With_Fredricka_Whitfield",2020,14,99,"cnn",11,1852,1,0,7.52402141520612,11,0,10
"cnn",21,2219,"CNN_Newsroom_With_Fredricka_Whitfield",2020,25,93,"cnn",12,2219,1,0,7.70481192293259,12,0,10
"cnn",23,948,"CNN_Newsroom_With_Fredricka_Whitfield",2020,18,54,"cnn",14,948,1,0,6.85435450225502,14,0,10
"cnn",24,3302,"CNN_Newsroom_With_Fredricka_Whitfield",2020,40,104,"cnn",15,3302,1,0,8.10228362448007,15,0,10
"cnn",25,1461,"CNN_Newsroom_With_Fredricka_Whitfield",2020,11,40,"cnn",16,1461,1,0,7.2868764117507,16,0,10
"cnn",26,6661,"CNN_Newsroom_With_Fredricka_Whitfield",2020,50,188,"cnn",17,6661,1,0,8.80402490241318,17,0,10
"cnn",27,2568,"CNN_Newsroom_With_Fredricka_Whitfield",2020,17,102,"cnn",18,2568,1,0,7.85088266480985,18,0,10
"cnn",28,3000,"CNN_Newsroom_With_Fredricka_Whitfield",2020,35,129,"cnn",19,3000,1,0,8.00636756765025,19,0,10
"cnn",29,1345,"CNN_Newsroom_With_Fredricka_Whitfield",2020,24,54,"cnn",20,1345,1,0,7.20414929203594,20,0,10
"cnn",30,4673,"CNN_Newsroom_With_Fredricka_Whitfield",2020,55,224,"cnn",21,4673,1,0,8.44955654270043,21,0,10
"cnn",31,2263,"CNN_Newsroom_With_Fredricka_Whitfield",2020,29,52,"cnn",22,2263,1,0,7.72444664563354,22,0,10
"cnn",32,2454,"CNN_Newsroom_With_Fredricka_Whitfield",2020,33,78,"cnn",23,2454,1,0,7.80547462527086,23,0,10
"cnn",33,2308,"CNN_Newsroom_With_Fredricka_Whitfield",2020,22,77,"cnn",24,2308,1,0,7.74413662762799,24,0,10
"cnn",34,2123,"CNN_Newsroom_With_Fredricka_Whitfield",2020,15,58,"cnn",25,2123,1,0,7.66058546170326,25,0,10
"cnn",35,1686,"CNN_Newsroom_With_Fredricka_Whitfield",2020,32,115,"cnn",26,1686,1,0,7.4301141385618,26,0,10
"cnn",36,1762,"CNN_Newsroom_With_Fredricka_Whitfield",2020,16,65,"cnn",27,1762,1,0,7.47420480649612,27,0,10
"cnn",37,3701,"CNN_Newsroom_With_Fredricka_Whitfield",2020,40,133,"cnn",28,3701,1,0,8.21635833238616,28,0,10
"cnn",38,909,"CNN_Newsroom_With_Fredricka_Whitfield",2020,10,32,"cnn",29,909,1,0,6.81234509417748,29,0,10
